school_name,lng_wgs84,lat_wgs84
北京大学,116.3042066,39.99159488
中国人民大学,116.3071298,39.96931615
清华大学,116.3195457,40.00046271
北京交通大学,116.3320945,39.94938771
北京工业大学,116.4755159,39.87411856
北京航空航天大学,116.340297,39.97785046
北京理工大学,116.3081145,39.95931152
北京科技大学,116.3542273,39.98641739
北方工业大学,116.2021855,39.92678351
北京化工大学,116.4149758,39.97040931
北京工商大学,116.1612504,39.71843507
北京服装学院,116.3669255,39.98006951
北京邮电大学,116.2828354,40.15609518
北京印刷学院,116.3070467,39.75811683
北京建筑大学,116.2804555,39.74712544
北京石油化工学院,116.307055,39.75593885
北京电子科技学院,116.2736845,39.83634905
中国农业大学,116.3513579,40.00302204
北京农学院,116.3044494,40.09366053
北京林业大学,116.0988056,40.06349088
北京协和医学院,116.4085945,39.90969056
首都医科大学,116.3177418,39.84214559
北京中医药大学,116.4217466,39.96985538
北京师范大学,116.3567281,39.9575884
首都师范大学,116.1730881,39.71134629
首都体育学院,116.1059768,40.07800824
北京外国语大学,116.3003527,39.95386235
北京第二外国语学院,116.5577214,39.91169598
北京语言大学,116.3401158,39.99361552
中国传媒大学,116.5522992,39.91226184
中央财经大学,116.2758747,40.17020444
对外经济贸易大学,116.421605,39.97905285
北京物资学院,116.3521657,39.86892352
首都经济贸易大学,116.3109173,39.84043813
中国消防救援学院,116.0811302,40.20063795
外交学院,116.2747202,40.15262472
中国人民公安大学,116.3597778,39.76432736
国际关系学院,116.2802883,40.00256451
北京体育大学,116.312974,40.02243802
中央音乐学院,116.3998866,39.91162679
中国音乐学院,116.3728933,39.99022657
中央美术学院,116.4197308,39.99050387
中央戏剧学院,116.3696024,40.10309119
中国戏曲学院,116.3265478,39.86249675
北京电影学院,116.366272,40.11111363
北京舞蹈学院,116.313114,39.94573761
中央民族大学,116.3144497,39.94951256
中国政法大学,116.2418422,40.22323666
华北电力大学,116.3102646,40.08940519
中华女子学院,116.2350996,40.19484947
北京信息科技大学,116.4831586,39.96365883
中国矿业大学（北京）,116.25563,40.15146776
中国石油大学（北京）,116.2489306,40.21478256
中国地质大学（北京）,116.3454636,39.98878046
